No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
150,YMM,Full Truck Alliance Co. Ltd.,Technology,Software - Application,China,12.99B,-,13.31,6.91%,"2,744,792"
151,VST,Vistra Corp.,Utilities,Utilities - Independent Power Producers,USA,8.81B,-,18.88,1.72%,"2,720,780"
152,YINN,Direxion Daily FTSE China Bull 3X Shares,Financial,Exchange Traded Fund,USA,-,-,12.50,5.31%,"2,718,300"
153,DBRG,"DigitalBridge Group, Inc.",Real Estate,REIT - Diversified,USA,3.40B,-,6.99,-0.92%,"2,703,093"
154,GPK,Graphic Packaging Holding Company,Consumer Cyclical,Packaging & Containers,USA,5.75B,23.81,19.24,2.26%,"2,701,886"
155,SLVO,Credit Suisse X-Links Silver Shares Covered Call ETN,Financial,Exchange Traded Fund,USA,-,-,5.38,-3.67%,"2,683,148"
156,BGCP,"BGC Partners, Inc.",Financial,Capital Markets,USA,2.17B,27.71,5.78,1.76%,"2,680,621"
157,BARK,The Original BARK Company,Consumer Cyclical,Specialty Retail,USA,1.36B,-,9.14,5.06%,"2,678,558"
158,IBN,ICICI Bank Limited,Financial,Banks - Regional,India,65.67B,24.54,19.17,0.76%,"2,666,079"
159,COMM,"CommScope Holding Company, Inc.",Technology,Communication Equipment,USA,3.35B,-,16.16,-2.33%,"2,648,678"
160,LAZR,"Luminar Technologies, Inc.",Technology,Software - Application,USA,6.23B,-,18.70,3.46%,"2,633,156"
161,BODY,"The Beachbody Company, Inc.",Communication Services,Internet Content & Information,USA,-,-,8.53,-3.72%,"2,627,160"
162,HBI,Hanesbrands Inc.,Consumer Cyclical,Apparel Manufacturing,USA,6.81B,862.61,19.40,-2.22%,"2,579,532"
163,NRZ,New Residential Investment Corp.,Real Estate,REIT - Mortgage,USA,4.54B,7.81,9.70,-0.92%,"2,539,488"
164,GCI,"Gannett Co., Inc.",Communication Services,Publishing,USA,790.92M,-,6.24,-1.66%,"2,500,689"
165,NRXP,"NRx Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,666.53M,-,15.64,13.83%,"2,471,122"
166,SBLK,Star Bulk Carriers Corp.,Industrials,Marine Shipping,Greece,2.00B,45.36,18.23,-5.89%,"2,466,772"
167,RTP,Reinvent Technology Partners,Financial,Shell Companies,USA,891.01M,-,10.46,9.07%,"2,432,966"
168,AMCR,Amcor plc,Consumer Cyclical,Packaging & Containers,Switzerland,18.01B,21.29,11.78,0.43%,"2,428,672"
169,EAF,GrafTech International Ltd.,Industrials,Electrical Equipment & Parts,USA,3.05B,7.30,10.73,-4.37%,"2,407,009"
170,RMO,"Romeo Power, Inc.",Consumer Cyclical,Auto Parts,USA,899.99M,12.16,6.87,3.46%,"2,375,744"
171,MUFG,"Mitsubishi UFJ Financial Group, Inc.",Financial,Banks - Diversified,Japan,71.95B,7.83,5.44,0.37%,"2,365,753"
172,CRK,"Comstock Resources, Inc.",Energy,Oil & Gas E&P,USA,1.33B,-,5.90,1.72%,"2,348,870"
173,PTRA,Proterra Inc.,Consumer Cyclical,Auto Manufacturers,USA,2.22B,-,11.77,7.44%,"2,334,583"
174,PSQ,ProShares Short QQQ,Financial,Exchange Traded Fund,USA,-,-,11.89,-0.17%,"2,318,697"
175,XPDI,Power & Digital Infrastructure Acquisition Corp.,Financial,Shell Companies,USA,426.88M,-,10.10,0.75%,"2,302,478"
176,KNDI,"Kandi Technologies Group, Inc.",Consumer Cyclical,Auto Manufacturers,China,367.10M,-,5.38,10.37%,"2,298,382"
177,NOV,NOV Inc.,Energy,Oil & Gas Equipment & Services,USA,5.14B,-,13.18,-2.04%,"2,258,902"
178,DHT,"DHT Holdings, Inc.",Energy,Oil & Gas Midstream,Bermuda,933.02M,4.54,5.30,-3.19%,"2,248,990"
179,SCPL,SciPlay Corporation,Communication Services,Electronic Gaming & Multimedia,USA,2.05B,18.33,17.20,6.17%,"2,243,737"
180,VNET,"21Vianet Group, Inc.",Technology,Information Technology Services,China,2.46B,-,18.60,2.90%,"2,226,874"
181,SM,SM Energy Company,Energy,Oil & Gas E&P,USA,2.20B,-,17.78,-4.77%,"2,220,315"
182,GLDM,SPDR Gold MiniShares,Financial,Exchange Traded Fund,USA,-,-,17.21,-1.73%,"2,219,063"
183,BCRX,"BioCryst Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,3.14B,-,17.76,0.85%,"2,214,303"
184,PK,Park Hotels & Resorts Inc.,Real Estate,REIT - Hotel & Motel,USA,4.41B,-,18.18,-3.14%,"2,206,208"
185,AJAX,Ajax I,Financial,Shell Companies,USA,890.92M,-,9.97,0.10%,"2,190,076"
186,ACB,Aurora Cannabis Inc.,Healthcare,Drug Manufacturers - Specialty & Generic,Canada,1.83B,-,7.38,0.75%,"2,188,950"
187,KPTI,Karyopharm Therapeutics Inc.,Healthcare,Biotechnology,USA,445.30M,-,5.61,1.72%,"2,158,671"
188,APT,"Alpha Pro Tech, Ltd.",Industrials,Building Products & Equipment,Canada,113.61M,5.85,9.16,4.15%,"2,156,490"
189,RKT,"Rocket Companies, Inc.",Financial,Mortgage Finance,USA,34.76B,6.82,17.67,0.83%,"2,142,247"
190,CARV,"Carver Bancorp, Inc.",Financial,Banks - Regional,USA,53.13M,-,17.61,13.72%,"2,115,925"
191,ETRN,Equitrans Midstream Corporation,Energy,Oil & Gas Midstream,USA,3.63M,10.50,8.32,-1.42%,"2,104,954"
192,ROOT,"Root, Inc.",Financial,Insurance - Property & Casualty,USA,1.83B,-,7.53,4.95%,"2,097,033"
193,COMP,"Compass, Inc.",Technology,Software - Application,USA,5.48B,-,15.27,5.34%,"2,096,129"
194,SABR,Sabre Corporation,Technology,Information Technology Services,USA,3.73B,-,11.18,-2.74%,"2,078,743"
195,ISBC,"Investors Bancorp, Inc.",Financial,Banks - Regional,USA,3.47B,11.63,14.17,-1.19%,"2,073,682"
196,IVC,Invacare Corporation,Healthcare,Medical Devices,USA,278.87M,-,8.66,-1.59%,"2,070,503"
197,PBF,PBF Energy Inc.,Energy,Oil & Gas Refining & Marketing,USA,1.11B,-,9.10,-2.41%,"2,062,722"
198,AGEN,Agenus Inc.,Healthcare,Biotechnology,USA,1.26B,-,5.45,-3.29%,"2,056,238"
199,HIMS,"Hims & Hers Health, Inc.",Consumer Defensive,Household & Personal Products,USA,1.49B,-,8.25,1.23%,"2,045,906"
200,SV,Spring Valley Acquisition Corp.,Financial,Shell Companies,USA,289.23M,-,10.06,0.05%,"2,040,413"
201,SHO,"Sunstone Hotel Investors, Inc.",Real Estate,REIT - Hotel & Motel,USA,2.48B,-,11.05,-2.13%,"2,037,078"
202,REAL,"The RealReal, Inc.",Consumer Cyclical,Specialty Retail,USA,1.48B,-,16.46,0.67%,"2,036,337"
203,ETWO,"E2open Parent Holdings, Inc.",Technology,Software - Infrastructure,USA,2.00B,-,10.72,4.23%,"2,031,170"
204,EGO,Eldorado Gold Corporation,Basic Materials,Gold,Canada,1.66B,75.73,8.52,-3.89%,"2,027,745"
205,PHYS,Sprott Physical Gold Trust,Financial,Exchange Traded Fund,USA,-,-,13.75,-1.65%,"2,011,839"
